TransactionID,CustomerID,ProductID,Quantity,TotalValue,Price_x,CustomerName,Region,SignupDate,SignupYear,SignupMonth,SignupDay,ProductName,Category,Price_y,Transaction_Year,Transaction_Month,Transaction_Day
T00001,C0199,P067,1,300.68,300.68,Andrea Jenkins,Europe,2022-12-03,2022,12,3,ComfortLiving Bluetooth Speaker,Electronics,300.68,2024,8,25
T00112,C0146,P067,1,300.68,300.68,Brittany Harvey,Asia,2024-09-04,2024,9,4,ComfortLiving Bluetooth Speaker,Electronics,300.68,2024,5,27
T00166,C0127,P067,1,300.68,300.68,Kathryn Stevens,Europe,2024-04-04,2024,4,4,ComfortLiving Bluetooth Speaker,Electronics,300.68,2024,4,25
T00272,C0087,P067,2,601.36,300.68,Travis Campbell,South America,2024-04-11,2024,4,11,ComfortLiving Bluetooth Speaker,Electronics,300.68,2024,3,26
T00363,C0070,P067,3,902.04,300.68,Timothy Perez,Europe,2022-03-15,2022,3,15,ComfortLiving Bluetooth Speaker,Electronics,300.68,2024,3,21
T00442,C0188,P067,1,300.68,300.68,Anna Ball,South America,2022-05-17,2022,5,17,ComfortLiving Bluetooth Speaker,Electronics,300.68,2024,12,26
T00490,C0195,P067,3,902.04,300.68,Jeremy Mclaughlin,South America,2024-09-17,2024,9,17,ComfortLiving Bluetooth Speaker,Electronics,300.68,2024,11,24
T00536,C0008,P067,1,300.68,300.68,David Li,North America,2024-01-13,2024,1,13,ComfortLiving Bluetooth Speaker,Electronics,300.68,2024,9,22
T00564,C0157,P067,3,902.04,300.68,Miguel Wong,North America,2024-01-30,2024,1,30,ComfortLiving Bluetooth Speaker,Electronics,300.68,2024,12,7
T00631,C0130,P067,2,601.36,300.68,Robert Jones,South America,2023-04-19,2023,4,19,ComfortLiving Bluetooth Speaker,Electronics,300.68,2024,5,14
T00727,C0051,P067,3,902.04,300.68,Nicholas Ellis,Europe,2023-12-21,2023,12,21,ComfortLiving Bluetooth Speaker,Electronics,300.68,2024,1,20
T00729,C0075,P067,2,601.36,300.68,Misty Higgins,Europe,2023-05-01,2023,5,1,ComfortLiving Bluetooth Speaker,Electronics,300.68,2024,10,7
T00797,C0155,P067,2,601.36,300.68,Michelle Brown,South America,2023-03-23,2023,3,23,ComfortLiving Bluetooth Speaker,Electronics,300.68,2024,10,4
T00002,C0092,P034,2,434.1,217.05,Jacqueline Zamora,Asia,2024-05-29,2024,5,29,HomeSense T-Shirt,Clothing,217.05,2024,12,16
T00063,C0088,P034,2,434.1,217.05,Carlos Murray,Asia,2023-05-14,2023,5,14,HomeSense T-Shirt,Clothing,217.05,2024,6,19
T00093,C0109,P034,4,868.2,217.05,Abigail Jones,North America,2022-05-09,2022,5,9,HomeSense T-Shirt,Clothing,217.05,2024,8,11
T00127,C0041,P034,4,868.2,217.05,Lindsey Deleon,Europe,2023-12-27,2023,12,27,HomeSense T-Shirt,Clothing,217.05,2024,6,3
T00270,C0101,P034,3,651.15,217.05,Kelsey Roberts,Asia,2023-09-30,2023,9,30,HomeSense T-Shirt,Clothing,217.05,2024,11,7
T00358,C0154,P034,1,217.05,217.05,Robert Sharp,North America,2024-10-27,2024,10,27,HomeSense T-Shirt,Clothing,217.05,2024,4,8
T00518,C0200,P034,4,868.2,217.05,Kelly Cross,Asia,2023-06-11,2023,6,11,HomeSense T-Shirt,Clothing,217.05,2024,12,11
T00546,C0049,P034,1,217.05,217.05,Jason Yates,North America,2024-09-18,2024,9,18,HomeSense T-Shirt,Clothing,217.05,2024,8,30
T00982,C0103,P034,1,217.05,217.05,Jennifer Munoz,Europe,2022-05-15,2022,5,15,HomeSense T-Shirt,Clothing,217.05,2024,7,17
T00003,C0028,P057,4,958.8,239.7,Jennifer Pena,Asia,2024-06-29,2024,6,29,ActiveWear Smartphone,Electronics,239.7,2024,1,25
T00013,C0183,P057,4,958.8,239.7,Kimberly Johnson,North America,2024-01-23,2024,1,23,ActiveWear Smartphone,Electronics,239.7,2024,3,4
T00017,C0087,P057,4,958.8,239.7,Travis Campbell,South America,2024-04-11,2024,4,11,ActiveWear Smartphone,Electronics,239.7,2024,5,9
T00046,C0190,P057,4,958.8,239.7,Alexander Lowe,South America,2024-05-31,2024,5,31,ActiveWear Smartphone,Electronics,239.7,2024,7,28
T00091,C0200,P057,1,239.7,239.7,Kelly Cross,Asia,2023-06-11,2023,6,11,ActiveWear Smartphone,Electronics,239.7,2024,4,27
T00161,C0055,P057,2,479.4,239.7,Lauren Williams,North America,2024-11-11,2024,11,11,ActiveWear Smartphone,Electronics,239.7,2024,7,15
T00184,C0188,P057,2,479.4,239.7,Anna Ball,South America,2022-05-17,2022,5,17,ActiveWear Smartphone,Electronics,239.7,2024,5,13
T00218,C0148,P057,3,719.1,239.7,Matthew Rogers,South America,2023-04-16,2023,4,16,ActiveWear Smartphone,Electronics,239.7,2024,1,17
T00417,C0035,P057,3,719.1,239.7,Brianna Richardson,North America,2024-10-01,2024,10,1,ActiveWear Smartphone,Electronics,239.7,2024,4,20
T00492,C0120,P057,3,719.1,239.7,Francisco Diaz,South America,2023-01-13,2023,1,13,ActiveWear Smartphone,Electronics,239.7,2024,8,8
T00605,C0017,P057,4,958.8,239.7,Jennifer King,Europe,2023-12-05,2023,12,5,ActiveWear Smartphone,Electronics,239.7,2023,12,31
T00615,C0145,P057,2,479.4,239.7,Wayne Stone,Asia,2023-01-13,2023,1,13,ActiveWear Smartphone,Electronics,239.7,2024,7,14
T00619,C0028,P057,2,479.4,239.7,Jennifer Pena,Asia,2024-06-29,2024,6,29,ActiveWear Smartphone,Electronics,239.7,2024,12,25
T00703,C0092,P057,3,719.1,239.7,Jacqueline Zamora,Asia,2024-05-29,2024,5,29,ActiveWear Smartphone,Electronics,239.7,2024,2,4
T00962,C0188,P057,2,479.4,239.7,Anna Ball,South America,2022-05-17,2022,5,17,ActiveWear Smartphone,Electronics,239.7,2024,11,29
T00004,C0004,P049,4,591.8,147.95,Kathleen Rodriguez,South America,2022-10-09,2022,10,9,TechPro Textbook,Books,147.95,2024,7,19
T00105,C0087,P049,3,443.85,147.95,Travis Campbell,South America,2024-04-11,2024,4,11,TechPro Textbook,Books,147.95,2024,2,12
